District,Taluka,Region,Equipment,Rs/hr,Rs/day,images
Sangli,Jat,WM,sickel,28.45,102.5,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Ratnagiri,Chiplun,Konkan,pickaxe,23,82,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Palghar,Vikramgad,Khandesh,pickaxe,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Gondia,Goregaon,Vidharbha,sprayer,36,288,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Nagpur,Narkhed,Vidharbha,plough,140,1120,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Gondia,Salekasa,Vidharbha,sprayer,39,312,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Palghar,Wada,Khandesh,plough,,,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Yavatmal,Kalamb,Vidharbha,sprayer,31,235,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Solapur,Karmala,WM,plough,184,850,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Parbhani,Sonpeth,Marathwada,plough,185,990,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Nanded,Kandhar,Marathwada,sprayer,43,130,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Bhandara,Pauni,Vidharbha,plough,112,896,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Ahmednagar,Shrigonda,Khandesh,sickel,31,106,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Latur,Ausa,Marathwada,pickaxe,26,90,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Solapur,Barshi,WM,sickel,27.2,98,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Jalgaon,Amalner,Khandesh,sickel,16,65,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Sambhajinagar,Sambhajinagar,Marathwada,pickaxe,28,98,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Jalgaon,Pachora,Khandesh,plough,110,620,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Akola,Akola,Vidharbha,Sickel,20,160,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Buldhana,Lonar,Vidharbha,sprayer,72,560,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Sangli,Tasgaon,WM,pickaxe,36.42,132.05,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Chandrapur,Bramhpuri,Vidharbha,hoe,22,176,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Nagpur,Ramtek,Vidharbha,tractor,370,2960,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Latur,Renapur,Marathwada,hoe,38,205,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Chandrapur,Rajura,Vidharbha,sprayer,30,240,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Bhandara,Pauni,Vidharbha,sickel,15,120,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Buldhana,Lonar,Vidharbha,pickaxe,26,210,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Raigad,Mahad,Konkan,plough,108,500,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Nagpur,Ramtek,Vidharbha,sprayer,55,440,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Parbhani,Purna,Marathwada,sickel,28,95,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Osmanabad,Tuljapur,Marathwada,sprayer,70,214,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Yavatmal,Dharwa,Vidharbha,sickel,15,110,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Palghar,Wada,Khandesh,tractor,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Amravati,Morshi,Vidharbha,Hoe,33,260,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Chandrapur,Korpana,Vidharbha,sickel,11,88,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Beed,Parali,Marathwada,hoe,34,190,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Yavatmal,Kalamb,Vidharbha,sickel,12,90,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Jalgaon,Jalgaon,Khandesh,sickel,17,65,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Palghar,Wada,Khandesh,hoe,,,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Jalna,Partur,Marathwada,tractor,290,2050,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Osmanabad,Umarga,Marathwada,pickaxe,41,153,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Nanded,Naigaon,Marathwada,tractor,350,2500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Solapur,Barshi,WM,tractor,453,3370,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Pune,Junnar,WM,sickel,32,108,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Washim,Karanja,Vidharbha,plough,90,720,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Washim,Washim,Vidharbha,plough,120,960,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Beed,Ashti,Marathwada,sprayer,52,160,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Nagpur,Nagpur,Vidharbha,tractor trolley,200,1600,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Wardha,Hinganghat,Vidharbha,sickel,32,230,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Bhandara,Tumsa,Vidharbha,plough,113,904,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Buldhana,Malkapur,Vidharbha,tractor trolley,185,1400,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Latur,Chakur,Marathwada,tractor,330,2300,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Nandurbar,Akrani,Khandesh,sprayer,28,105,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Washim,Malegaon,Vidharbha,hoe,30,240,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Nashik,Sinnar,Marathwada,hoe,35,194,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Jalgaon,Bhusawal,Khandesh,pickaxe,22,100,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Jalna,Mantha,Marathwada,pickaxe,21,74,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Solapur,Akkalkot,WM,sprayer,63,185,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Mumbai Suburban,Mumbai Suburban,Konkan,plough,235,1100,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Jalna,Badnapur,Marathwada,tractor,310,2200,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Raigad,Alibaug,Konkan,hoe,33,179,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Ratnagiri,Guhagar,Konkan,tractor,333,2470,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Sambhajinagar,Sillod,Marathwada,hoe,35,195,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Sambhajinagar,Kannad,Marathwada,plough,130,605,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Nandurbar,Shahada,Khandesh,sprayer,30,110,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Latur,Ausa,Marathwada,sickel,22,80,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Yavatmal,Kalamb,Vidharbha,tractor trolley,135,1020,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Nashik,Igatpuri,Marathwada,sickel,21,76,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Pune,Bhor,WM,sickel,31,106,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Dhule,Sakri,Khandesh,pickaxe,25,88,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Satara,Karad,WM,plough,186.57,886.71,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Jalna,Jafrabad,Marathwada,sickel,18,64,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Hingoli,Aundha,Marathwada,plough,200,1050,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Pune,Indapur,WM,sprayer,74,222,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Yavatmal,Yavatmal,Vidharbha,tractor,231,1732,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Nandurbar,Shahada,Khandesh,tractor,190,960,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Palghar,Talasari,Khandesh,tractor trolley,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Nandurbar,Nandurbar,Khandesh,hoe,20,80,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Palghar,Wada,Khandesh,tractor trolley,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Dhule,Sakri,Khandesh,sprayer,39,118,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Chandrapur,Bramhpuri,Vidharbha,plough,90,720,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Yavatmal,Dharwa,Vidharbha,tractor trolley,145,1090,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Ahmednagar,Sangamner,Khandesh,sprayer,75,220,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Raigad,Khalapur,Konkan,sprayer,55,170,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Nandurbar,Taloda,Khandesh,tractor trolley,100,800,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Beed,Shirur,Marathwada,tractor trolley,230,1700,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Parbhani,Parbhani,Marathwada,hoe,52,250,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Amravati,Chikhaldara,Vidharbha,Hoe,34,275,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Ahmednagar,Pathardi,Khandesh,sickel,32,107,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Akola,Akot,Vidharbha,Sickel,22,175,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Yavatmal,Dharwa,Vidharbha,plough,110,820,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Amravati,Morshi,Vidharbha,Tractor Trolley,180,1350,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Washim,Resod,Vidharbha,plough,100,800,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Ratnagiri,Chiplun,Konkan,tractor,310,2300,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Palghar,Palghar,Khandesh,hoe,,,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Nashik,Igatpuri,Marathwada,tractor trolley,219,1625,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Sindhudurg,Sawantwadi,Konkan,hoe,31,169,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Nagpur,Nagpur,Vidharbha,sickel,22,176,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Buldhana,Chikhli,Vidharbha,pickaxe,26,220,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Beed,Parali,Marathwada,tractor,325,2400,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Mumbai Suburban,Mumbai Suburban,Konkan,tractor,597,4440,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Bhandara,Mohadi,Vidharbha,hoe,29,232,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Nanded,Dharmabad,Marathwada,tractor,320,2200,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Gadchiroli,Chamorshi,Vidharbha,hoe,,,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Chandrapur,Sindhewahi,Vidharbha,tractor trolley,131,1048,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Pune,Shirur,WM,plough,210,1075,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Kolhapur,Radhanagari,WM,hoe,50.5,275,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Nanded,Nanded,Marathwada,sickel,22,80,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Mumbai Suburban,Mumbai Suburban,Konkan,hoe,61,330,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Hingoli,Basmath,Marathwada,plough,196,1010,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Akola,Balapur,Vidharbha,Tractor Trolley,185,1425,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Jalna,Mantha,Marathwada,tractor trolley,175,1280,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Chandrapur,Bramhpuri,Vidharbha,sickel,10,80,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Dhule,Shirpur,Khandesh,sickel,18,62,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Nanded,Naigaon,Marathwada,hoe,36,195,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Nagpur,Narkhed,Vidharbha,pickaxe,27,216,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Ratnagiri,Chiplun,Konkan,tractor trolley,190,1410,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Hingoli,Basmath,Marathwada,pickaxe,42,145,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Wardha,Arvi,Vidharbha,tractor,280,1960,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Jalna,Bhokardhan,Marathwada,pickaxe,24,85,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Nagpur,Katol,Vidharbha,hoe,39,312,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Nandurbar,Taloda,Khandesh,hoe,21,85,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Beed,Ashti,Marathwada,hoe,38,210,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Jalna,Badnapur,Marathwada,hoe,29,165,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Nagpur,Hingna,Vidharbha,plough,155,1240,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Sindhudurg,Kankavli,Konkan,sprayer,42,130,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Raigad,Alibaug,Konkan,sickel,19,70,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Washim,Resod,Vidharbha,tractor,250,2000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Ratnagiri,Chiplun,Konkan,hoe,31,169,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Jalgaon,Amalner,Khandesh,pickaxe,23,100,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Buldhana,Shegaon,Vidharbha,hoe,52,370,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Latur,Latur,Marathwada,sprayer,52,160,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Sambhajinagar,Paithan,Marathwada,tractor trolley,217,1600,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Washim,Malegaon,Vidharbha,tractor,260,2080,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Gadchiroli,Chamorshi,Vidharbha,tractor,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Gondia,Goregaon,Vidharbha,plough,106,848,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Nandurbar,Nandurbar,Khandesh,tractor trolley,95,720,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Ratnagiri,Dapoli,Konkan,sickel,22,82,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Nanded,Dharmabad,Marathwada,tractor trolley,190,1350,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Gondia,Salekasa,Vidharbha,pickaxe,21,168,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Akola,Balapur,Vidharbha,Pickaxe,27,215,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Sindhudurg,Kudal,Konkan,hoe,31,169,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Ahmednagar,Shrigonda,Khandesh,plough,205,1065,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Raigad,Pen,Konkan,tractor,383,2850,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Solapur,Akkalkot,WM,hoe,46.5,245,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Wardha,Wardha,Vidharbha,hoe,52,360,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Hingoli,Sengaon,Marathwada,hoe,52,250,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Amravati,Warud,Vidharbha,Tractor,310,2325,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Satara,Karad,WM,sickel,28.62,102.39,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Nagpur,Ramtek,Vidharbha,hoe,42,336,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
Solapur,Barshi,WM,plough,185,860,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Palghar,Talasari,Khandesh,tractor,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Solapur,Pandharpur,WM,pickaxe,36,130,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
